Country,id,Global_Score,Global_Rank,Percentage_missing_values,Regional_Score,Population_in_2019,GDP_per_capita_in_2017,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10,Goal_11,Goal_12,Goal_13,Goal_14,Goal_15,Goal_16,Goal_17,Regional_Score_Goal_1,Regional_Score_Goal_2,Regional_Score_Goal_3,Regional_Score_Goal_4,Regional_Score_Goal_5,Regional_Score_Goal_6,Regional_Score_Goal_7,Regional_Score_Goal_8,Regional_Score_Goal_9,Regional_Score_Goal_10,Regional_Score_Goal_11,Regional_Score_Goal_12,Regional_Score_Goal_13,Regional_Score_Goal_14,Regional_Score_Goal_15,Regional_Score_Goal_16,Regional_Score_Goal_17
"Micronesia, Fed. Sts.",FSM,,,,60.5,536579,3363.793816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,64.8,99.0,7.1,53.8,2109099,16463.87137,85.90,52.71,50.27,79.02,46.28,61.69,80.79,62.91,29.31,46.96,54.02,91.10,94.66,62.82,85.49,53.12,63.94,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
United Kingdom,GBR,79.4,13.0,6.0,77.7,66959016,39753.24389,99.69,66.38,94.55,99.41,81.29,95.09,93.01,82.91,81.42,71.40,90.79,42.93,84.62,57.52,73.73,85.71,48.94,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Georgia,GEO,68.9,73.0,1.2,70.4,3904204,9730.889635,83.88,51.22,73.21,98.33,61.18,75.60,88.63,72.83,30.11,32.60,87.10,82.23,91.28,42.97,60.56,81.93,57.85,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Ghana,GHA,63.8,104.0,4.8,53.8,30096970,4091.907058,69.02,61.58,54.39,69.17,54.11,52.85,58.62,76.61,30.19,58.63,50.00,97.32,96.52,51.03,75.44,69.74,59.41,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Guinea,GIN,52.8,138.0,3.6,53.8,13398180,2042.403191,35.50,49.79,33.28,24.74,35.68,43.65,13.42,65.37,5.52,82.50,55.98,94.90,99.24,70.85,78.15,48.31,60.98,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
"Gambia, The",GMB,55.0,131.0,8.3,53.8,2228075,1544.390653,62.16,45.30,43.18,45.71,34.92,59.97,21.93,69.31,8.24,44.26,64.64,93.59,93.53,60.39,74.91,60.14,52.85,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Guinea-Bissau,GNB,,,,53.8,1953723,1548.677641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,,,,53.8,1360104,22213.74306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,71.4,50.0,1.2,77.7,11124603,24574.38248,96.66,61.18,90.16,90.13,62.61,90.60,90.66,62.95,49.93,50.91,82.07,39.40,82.24,59.36,78.74,72.82,53.55,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Grenada,GRD,,,,67.1,108825,13775.7311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,59.6,122.0,0.0,67.1,17577842,7423.799552,74.31,43.33,70.51,70.98,53.18,69.26,70.82,74.99,12.03,20.24,84.31,85.56,94.88,41.10,52.99,50.41,45.09,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Guyana,GUY,61.4,114.0,15.5,67.1,786508,7435.046801,84.87,54.39,61.91,83.26,61.94,73.25,78.31,52.55,14.80,,82.64,58.23,72.00,55.05,59.45,56.47,57.70,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Honduras,HND,63.4,107.0,1.2,67.1,9568688,4541.795257,57.67,46.23,75.28,64.25,65.01,70.33,73.45,72.88,13.77,26.66,80.80,88.29,94.37,66.16,65.18,48.73,68.98,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Croatia,HRV,77.8,22.0,3.6,70.4,4140148,22828.37215,98.38,64.63,87.09,87.36,63.72,82.51,89.46,78.07,48.63,69.85,76.24,73.54,93.59,74.85,79.22,70.59,84.73,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Haiti,HTI,48.4,156.0,8.3,67.1,11242856,1653.172504,37.98,42.20,42.16,49.54,39.92,49.13,26.51,58.77,7.28,62.28,41.34,91.76,89.36,33.00,43.58,45.60,62.97,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
